08/25/2016 08:22:44: :	NLogLogger.GetCalleeString 
	urlFull: http://sandbox1.vtcebank.vn/payportalv2/checkout.html?website_id=453&amount=50000&receiver_account=0983666999&reference_number=20160825082242&currency=VND&signature=C70B6B2CBBB90967A0C84BB927222B89838E498EA3674D8E55E2E59B12AFDA43
08/25/2016 08:28:18: :	NLogLogger.GetCalleeString 
	urlFull: http://sandbox1.vtcebank.vn/payportalv2/checkout.html?website_id=453&amount=50000&receiver_account=0983666999&reference_number=20160825082752&currency=VND&signature=500B1BBD577F3162A33DAF2B266A5B0EF1261D56B674FD55756DEBB2FD7AC2A1
08/25/2016 08:40:18: :	NLogLogger.GetCalleeString 
	urlFull: http://sandbox1.vtcebank.vn/payportalv2/checkout.html?website_id=453&amount=50000&receiver_account=0983666999&reference_number=20160825084006&currency=VND&signature=71CB467017A17E3E33B4FF1A34C82365275A4DE0C0B97BC8DBDD31D26EFF7FE3
08/25/2016 08:43:02: :	NLogLogger.GetCalleeString 
	urlFull: http://sandbox1.vtcebank.vn/payportalv2/checkout.html?website_id=453&amount=50000&receiver_account=0983666999&reference_number=20160825083539&currency=VND&signature=71AFD72ED2FF55CF489BAFEBEED034C9B2E92B9C7D9A2655B16397BADB5BFC05
08/25/2016 08:45:11: :	NLogLogger.GetCalleeString 
	urlFull: http://sandbox1.vtcebank.vn/payportalv2/checkout.html?website_id=453&amount=50000&receiver_account=0983666999&reference_number=20160825084509&currency=VND&signature=CC12EC8F980333D9B05B59FFDB53C3A8F8D787DD51F49F9D920E93418778A125
08/25/2016 08:50:35: :	NLogLogger.GetCalleeString 
	urlFull: http://sandbox1.vtcebank.vn/payportalv2/checkout.html?website_id=453&amount=50000&receiver_account=0983666999&reference_number=20160825085034&currency=VND&signature=24DE500E211D7F6AA086D1FA8E4BD9527C13800B00CACD993C76FDA8EA9B417C
08/25/2016 08:51:48: :	NLogLogger.GetCalleeString 
	urlFull: http://sandbox1.vtcebank.vn/payportalv2/checkout.html?website_id=453&amount=10000&receiver_account=0983666999&reference_number=20160825085136&currency=VND&signature=1CADE14D6E318A72D5C17184364C19FE1254654E58DAA647AB42DC7A9C723975
08/25/2016 08:53:18: :	NLogLogger.GetCalleeString 
